run_id,status,lambda2,sigma_sq,meta_dict_size,primary_sae_type,meta_sae_type,joint_loss,joint_l0,joint_l2,joint_decomp,solo_loss,solo_l0,solo_l2,solo_l1,solo_dead,meta_loss,meta_l0,meta_l2
l2_0.0_s2_0.1_md_2048_pt_jum_mt_jum_42e9d7,success,0.0,0.1,2048,jumprelu,jumprelu,0.009,624.6,0.009,0.08,0.0089,626.2,0.0089,0.0,0,0.3163,18.3,0.3163
l2_0.0_s2_0.1_md_512_pt_bat_mt_bat_395bb9,success,0.0,0.1,512,batchtopk,batchtopk,0.0832,32.0,0.0807,0.002,0.0834,32.0,0.0809,0.0,26,0.7024,4.0,0.7024
l2_0.0_s2_0.1_md_512_pt_bat_mt_jum_7515f2,success,0.0,0.1,512,batchtopk,jumprelu,0.0832,32.0,0.0807,0.374,0.0834,32.0,0.0809,0.0,26,0.1204,450.8,0.1204
l2_0.0_s2_0.1_md_512_pt_jum_mt_bat_9444cc,success,0.0,0.1,512,jumprelu,batchtopk,0.009,624.6,0.009,0.0078,0.0089,626.2,0.0089,0.0,0,0.5961,4.0,0.5961
l2_0.0_s2_0.1_md_512_pt_jum_mt_jum_4bdae7,success,0.0,0.1,512,jumprelu,jumprelu,0.009,624.6,0.009,0.857,0.0089,626.2,0.0089,0.0,0,0.3564,29.1,0.3564
l2_0.0_s2_1.0_md_1024_pt_bat_mt_bat_c9717d,success,0.0,1.0,1024,batchtopk,batchtopk,0.0832,32.0,0.0807,0.5412,0.0834,32.0,0.0809,0.0,26,0.6192,4.0,0.6192
l2_0.0_s2_1.0_md_1024_pt_bat_mt_jum_92778a,success,0.0,1.0,1024,batchtopk,jumprelu,0.0832,32.0,0.0807,0.9825,0.0834,32.0,0.0809,0.0,26,0.4195,35.8,0.4195
l2_0.0_s2_1.0_md_1024_pt_jum_mt_bat_3ff9ac,success,0.0,1.0,1024,jumprelu,batchtopk,0.009,624.6,0.009,0.5904,0.0089,626.2,0.0089,0.0,0,0.5245,4.0,0.5245
l2_0.0_s2_1.0_md_1024_pt_jum_mt_jum_34724f,error,0.0,1.0,1024,jumprelu,jumprelu,0.009,624.6,0.009,0.9884,0.0615,139.8,0.0615,0.0,0,,,
l2_0.0_s2_1.0_md_2048_pt_bat_mt_bat_1543a4,unknown,0.0,1.0,2048,batchtopk,batchtopk,0.1003,32.0,0.0981,0.5133,,,,,,,,
l2_0.0_s2_1.0_md_2048_pt_bat_mt_jum_22004d,success,0.0,1.0,2048,batchtopk,jumprelu,0.0832,32.0,0.0807,0.7421,0.0834,32.0,0.0809,0.0,26,0.3977,19.3,0.3977
l2_0.0_s2_1.0_md_2048_pt_jum_mt_bat_78bdba,unknown,0.0,1.0,2048,jumprelu,batchtopk,0.0552,203.4,0.0552,0.5868,,,,,,,,
l2_0.0_s2_1.0_md_2048_pt_jum_mt_jum_154e73,success,0.0,1.0,2048,jumprelu,jumprelu,0.009,624.6,0.009,0.7634,0.0089,626.2,0.0089,0.0,0,0.3163,18.3,0.3163
l2_0.0_s2_1.0_md_512_pt_bat_mt_bat_110be1,error,0.0,1.0,512,batchtopk,batchtopk,0.0832,32.0,0.0807,0.4993,0.0819,32.0,0.0794,0.0,22,,,
l2_0.0_s2_1.0_md_512_pt_bat_mt_jum_adbb4f,error,0.0,1.0,512,batchtopk,jumprelu,0.0832,32.0,0.0807,0.8899,0.0831,32.0,0.0805,0.0,24,,,
l2_0.0_s2_1.0_md_512_pt_jum_mt_bat_d9b6b0,success,0.0,1.0,512,jumprelu,batchtopk,0.009,624.6,0.009,0.549,0.0089,626.2,0.0089,0.0,0,0.5961,4.0,0.5961
l2_0.0_s2_1.0_md_512_pt_jum_mt_jum_a3084b,success,0.0,1.0,512,jumprelu,jumprelu,0.009,624.6,0.009,0.9666,0.0089,626.2,0.0089,0.0,0,0.3564,29.1,0.3564
