lambda2,sigma_sq,meta_dict_size,joint_l2,solo_l2,joint_decomp,hung_cosine_mean,hung_cosine_median,hung_cosine_std,hung_l2_mean,hung_l2_median,hung_frac_above_0.9,hung_frac_above_0.95,hung_frac_above_0.99,solo_cosine_mean,solo_cosine_median,solo_cosine_std,solo_l2_mean,solo_l2_median,solo_frac_above_0.9,solo_frac_above_0.95,solo_frac_above_0.99,solo_orphan_count,solo_unique_targets,join_cosine_mean,join_cosine_median,join_cosine_std,join_l2_mean,join_l2_median,join_frac_above_0.9,join_frac_above_0.95,join_frac_above_0.99,join_orphan_count,join_unique_targets,dead_both,dead_solo_only,dead_joint_only
0.001,0.1,512,0.0806,0.0809,0.0019,0.7380066,0.8173975,0.23120007,0.6474218,0.6043487,0.3414713541666667,0.18058268229166666,0.014811197916666666,0.7682912,0.82041264,0.18785083,0.61743957,0.59933513,0.3419596354166667,0.18058268229166666,0.014811197916666666,1969,10319,0.76808596,0.82049984,0.18820657,0.61763316,0.5991938,0.3418782552083333,0.18058268229166666,0.014811197916666666,1966,10322,0,0,0
0.01,0.01,512,0.0808,0.0809,0.0,0.7368922,0.81943834,0.23256692,0.64886415,0.60095394,0.3409830729166667,0.17626953125,0.012939453125,0.76748776,0.8217672,0.18858035,0.6187015,0.597072,0.341552734375,0.17626953125,0.012939453125,2012,10276,0.76773906,0.82191306,0.1880082,0.61848646,0.59682393,0.3414713541666667,0.17626953125,0.012939453125,1998,10290,0,0,0
0.0,0.1,1024,0.0807,0.0809,0.0041,0.7366443,0.8192059,0.23261638,0.6494289,0.60133994,0.34033203125,0.17513020833333334,0.011555989583333334,0.7671941,0.82169795,0.18853617,0.6193526,0.5971829,0.3409016927083333,0.17513020833333334,0.011555989583333334,2002,10286,0.7674441,0.8217912,0.18800923,0.6191328,0.59703004,0.3408203125,0.17513020833333334,0.011555989583333334,1994,10294,0,0,0
0.1,0.01,2048,0.08056249469518661,0.08086986839771271,2.4351433239644393e-05,0.7363923,0.81873024,0.2330153,0.64960116,0.6021329,0.3417154947916667,0.17488606770833334,0.011311848958333334,0.7673152,0.82136214,0.18882684,0.6190741,0.5977472,0.3423665364583333,0.17488606770833334,0.011311848958333334,1952,10336,0.76731676,0.8214536,0.18872339,0.6190954,0.59759915,0.34228515625,0.17488606770833334,0.011311848958333334,1982,10306,0,0,0
0.0,0.01,2048,0.0807,0.0809,0.001,0.7366443,0.8192059,0.23261638,0.6494289,0.60133994,0.34033203125,0.17513020833333334,0.011555989583333334,0.7671941,0.82169795,0.18853617,0.6193526,0.5971829,0.3409016927083333,0.17513020833333334,0.011555989583333334,2002,10286,0.7674441,0.8217912,0.18800923,0.6191328,0.59703004,0.3408203125,0.17513020833333334,0.011555989583333334,1994,10294,0,0,0
0.1,0.1,512,0.08060919493436813,0.08086986839771271,0.0014677186263725162,0.737375,0.81729364,0.23137115,0.6489024,0.60451305,0.3382975260416667,0.173095703125,0.013427734375,0.76735115,0.8205465,0.18814614,0.61933655,0.5991097,0.3387044270833333,0.17317708333333334,0.013427734375,1968,10320,0.76756984,0.8204642,0.18786137,0.61911243,0.599246,0.3385416666666667,0.17317708333333334,0.013427734375,1970,10318,0,0,0
0.0,0.1,512,0.0807,0.0809,0.002,0.7366443,0.8192059,0.23261638,0.6494289,0.60133994,0.34033203125,0.17513020833333334,0.011555989583333334,0.7671941,0.82169795,0.18853617,0.6193526,0.5971829,0.3409016927083333,0.17513020833333334,0.011555989583333334,2002,10286,0.7674441,0.8217912,0.18800923,0.6191328,0.59703004,0.3408203125,0.17513020833333334,0.011555989583333334,1994,10294,0,0,0
0.001,1.0,1024,0.0807,0.0809,0.5382,0.7359374,0.8158537,0.2320206,0.6504446,0.606897,0.336181640625,0.17561848958333334,0.01513671875,0.76670974,0.8196188,0.18851867,0.6199395,0.6006577,0.3365885416666667,0.17561848958333334,0.01513671875,1997,10291,0.76640517,0.8194186,0.18881617,0.62028503,0.60099554,0.3365885416666667,0.17561848958333334,0.01513671875,1968,10320,0,0,0
0.1,0.1,1024,0.08060887455940247,0.08086986839771271,0.0027680406346917152,0.73174065,0.8103859,0.23149838,0.6587026,0.61583674,0.3193359375,0.162353515625,0.011474609375,0.7621875,0.81357944,0.18809031,0.6287545,0.6106245,0.3194173177083333,0.162353515625,0.011474609375,1986,10302,0.7625356,0.81337243,0.18705577,0.6285434,0.6109662,0.3193359375,0.162353515625,0.011474609375,1974,10314,0,0,0
0.001,0.01,2048,0.0808,0.0809,0.0015,0.73712856,0.81893456,0.23259696,0.6484081,0.6017986,0.3412272135416667,0.17838541666666666,0.013509114583333334,0.76784533,0.8210842,0.18837452,0.61809754,0.5982108,0.3419596354166667,0.178466796875,0.013509114583333334,1992,10296,0.76808125,0.82114124,0.18793483,0.6178761,0.59812045,0.3418782552083333,0.178466796875,0.013509114583333334,1998,10290,0,0,0
